timestamp,running,eating,walking,standing,sitting,lying,anomaly_score,is_anomaly,behavior_raw,behavior_score,behavior_confident,behavior_label,behavior_smooth
0.0,0.033626039688371946,0.013890255043386585,0.9200896445247863,0.025969343673851755,0.0029289072767520945,0.003495787795206222,2.7605387196915876,True,walking,0.9200896445247863,True,anomaly,anomaly
1.0,0.03352321893131981,0.012128619793414449,0.9252956646184126,0.02326531441261371,0.002815342356916517,0.0029718185956880915,1.881747990484637,False,walking,0.9252956646184126,True,walking,walking
2.0,0.033297572427739695,0.010946642683508496,0.929615720709165,0.02078500467042128,0.00275599277112633,0.0025990458374144506,1.5784947824873174,False,walking,0.929615720709165,True,walking,walking
3.0,0.03970271972939372,0.00884153996128589,0.9287142115831376,0.017768188267946246,0.002850017286837101,0.002123308666632511,1.2263625279243302,False,walking,0.9287142115831376,True,walking,walking
4.0,0.0436828700453043,0.007757873842492699,0.928055157661438,0.015757236294448376,0.0028300779592245816,0.0019167770748026668,1.2027999930617963,False,walking,0.928055157661438,True,walking,walking
5.0,0.05086550813168287,0.006492515169084072,0.9237281203269958,0.014468041174113749,0.002781322756782174,0.0016644948010798542,1.2698612471111868,False,walking,0.9237281203269958,True,walking,walking
6.0,0.059306366071104996,0.006606224318966269,0.9129987955093384,0.015500965900719166,0.0030409938376396895,0.0025466615008190273,1.1600325583223698,False,walking,0.9129987955093384,True,walking,walking
7.0,0.06958773482590914,0.006993493661284447,0.8982017326354981,0.0182068669423461,0.00329713218845427,0.0037130503600928933,0.8851350412061952,False,walking,0.8982017326354981,True,walking,walking
8.0,0.0769397409260273,0.00787222876213491,0.8810181427001954,0.024716044403612615,0.004034280003979802,0.005419566854834556,0.8207966722699053,False,walking,0.8810181427001954,True,walking,walking
9.0,0.08035268526524306,0.007956288158893586,0.8686116313934326,0.031480666957795625,0.0047179264016449455,0.006880799419013784,1.0084282329922762,False,walking,0.8686116313934326,True,walking,walking
10.0,0.08183103360235691,0.00819988983683288,0.8572087478637694,0.03816815469413996,0.0059441337268799545,0.00864802572876215,1.6201689660982,False,walking,0.8572087478637694,True,walking,walking
11.0,0.08227777507156134,0.008210203908383847,0.8507613611221314,0.04319000113755465,0.0067162842256948355,0.008844351350562647,1.7014153992429961,False,walking,0.8507613611221314,True,walking,walking
12.0,0.08181532755494117,0.008062513116747142,0.8474695658683776,0.046545679718256,0.007468943176791072,0.008637941598426551,1.993857630836916,False,walking,0.8474695658683776,True,walking,walking
13.0,0.0747591673117131,0.0073035494238138194,0.8639359825849533,0.039983147187158466,0.006950245460029691,0.0070678761170711365,1.3719288251885495,False,walking,0.8639359825849533,True,walking,walking
14.0,0.07271918936632574,0.007076779132088025,0.8756623476743698,0.032117150664950404,0.006695526983433714,0.005728969828536113,1.2252896234572974,False,walking,0.8756623476743698,True,walking,walking
15.0,0.07104146898491309,0.006946656589085856,0.8835782699286937,0.027793913586841273,0.0061538407996219275,0.00448581386396351,0.9134456196593287,False,walking,0.8835782699286937,True,walking,walking
16.0,0.06883770741211871,0.006774265401893191,0.893094304203987,0.021916190622788333,0.005660535900905314,0.003716960950340662,0.7892686119770986,False,walking,0.893094304203987,True,walking,walking
