timestamp,running,eating,walking,standing,sitting,lying,anomaly_score,is_anomaly
0.0,0.00035430276572393876,0.9965857068697611,0.002601511854057511,0.0003294732062689339,2.5353197391571786e-05,0.0001036507358852153,1.7839696047290916,False
1.0,0.00032948476291494444,0.9967294931411743,0.0025274644722230732,0.0002930924529209733,2.505985548850731e-05,9.539134771330282e-05,1.9883110739487448,False
2.0,0.00031436479184776545,0.9967524528503418,0.0024839140474796294,0.00030205987277440725,2.602487802505493e-05,0.00012118295999243855,1.350213452555332,False
3.0,0.00030875285156071184,0.9965465784072876,0.0027324633207172155,0.0002582184213679284,2.3298475571209565e-05,0.00013067887630313635,1.59751865377841,False
4.0,0.0003081908915191889,0.9964106202125549,0.0028371362946927547,0.0002910658484324813,2.528903933125548e-05,0.0001276938259252347,1.1891313139141004,False
5.0,0.0002802516159135848,0.9964165091514587,0.0027937011793255804,0.00032743186748120936,2.9662144879694096e-05,0.0001524506209534593,0.5766355982579816,False
6.0,0.0002795870415866375,0.9959390997886658,0.0032408921979367733,0.00034272814518772067,3.195864592271391e-05,0.00016574932815274223,0.4315441952501662,False
7.0,0.0002832976751960814,0.9959070324897766,0.0032231663819402455,0.000397416518535465,3.155260674247984e-05,0.00015752749895909802,0.4510310511501123,False
8.0,0.0002535878913477063,0.9963340163230896,0.0028405210468918085,0.0003899820731021464,3.0026398599147795e-05,0.00015183861542027443,0.73220181999953,False
9.0,0.0002626194269396365,0.9960182309150696,0.00311609017662704,0.00039994284161366523,3.165697198710404e-05,0.00017145321326097473,0.5812319878351891,False
10.0,0.00024639542098157106,0.9962233066558838,0.002966694696806371,0.000377232301980257,2.8484657013905236e-05,0.00015789524331921712,0.8524301059836604,False
11.0,0.0002448314073262736,0.9966835856437684,0.002511627948842943,0.0003846727660857141,2.4841076810844243e-05,0.00015044777537696064,1.2360898666801934,False
12.0,0.00023588787298649548,0.9966485977172852,0.0026059360476210713,0.0003370203834492713,2.5949639893951826e-05,0.00014661684690508991,1.0280727462776011,False
13.0,0.00023547635646536946,0.996558666229248,0.0026459133485332133,0.00035871302825398745,2.9387478571152313e-05,0.00017186059994855896,1.034951596445978,False
14.0,0.00021198397153057157,0.9971687197685242,0.0021297138184309004,0.0003033046901691705,2.592522941995412e-05,0.00016037257300922648,1.7132840906141074,False
15.0,0.00023116447264328598,0.9968104362487793,0.002437343052588403,0.0003132661979179829,2.659199890331365e-05,0.00018119017040589823,1.180777303757387,False
16.0,0.0002347773319343105,0.9967160105705262,0.002492190874181688,0.0003056273912079632,2.9324251590878704e-05,0.00022208131558727474,1.1460632443324663,False
17.0,0.00024533039540983734,0.9966544032096862,0.00256153226364404,0.00029277658904902637,2.7306805714033543e-05,0.000218673242488876,1.0617457804187296,False
18.0,0.0003354769491124898,0.9954758644104004,0.0035835710586979985,0.00034801901201717553,3.2562992419116196e-05,0.00022453496931120753,1.2067678869123784,False
19.0,0.0003359485504915938,0.9952667355537415,0.003774281544610858,0.00036306704278104006,3.664135438157246e-05,0.00022334528621286153,1.5286946416096014,False
20.0,0.000371703811106272,0.9951208710670472,0.003882601810619235,0.00037354196538217364,3.634896274888888e-05,0.00021496948902495206,1.460187790685821,False
21.0,0.00042371762974653394,0.994494903087616,0.004303129622712731,0.0005127658077981323,3.9554405520902944e-05,0.00022594192414544524,2.2112174563148694,False
22.0,0.0004441066615981981,0.9942724943161011,0.004444618336856365,0.0005499893391970545,3.974183127866127e-05,0.00024905264435801653,2.452482166029733,False
23.0,0.000368393721873872,0.9952901005744934,0.0036108506843447684,0.00047949919826351106,3.307270890218206e-05,0.00021808625024277717,1.358181232087873,False
24.0,0.000391506077721715,0.9950193285942077,0.0037640283349901437,0.0005504092725459487,3.4326947934459894e-05,0.00024041286669671536,2.154450424467619,False
25.0,0.0003589204046875238,0.9950308799743652,0.00380206648260355,0.0005435997154563665,3.5162748099537565e-05,0.0002293677447596565,2.0779839903388333,False
26.0,0.0003032055537914857,0.9955814957618714,0.0035223913379013537,0.00037712117191404106,3.069552149099763e-05,0.00018508655775804073,0.6974433327786346,False
27.0,0.0002628069021739066,0.9959944963455201,0.00322561701759696,0.00031795907707419244,3.1329737612395545e-05,0.0001678006665315479,0.5780981791528633,False
28.0,0.00026800389750860634,0.995842981338501,0.0033881287090480328,0.00029457098280545325,3.1006092103780245e-05,0.00017531501362100244,0.7184297750378893,False
29.0,0.0002579451247584075,0.9959225952625275,0.0034142189542762935,0.000223247359826928,2.7890900582860922e-05,0.0001540860248496756,1.5193428221812308,False
30.0,0.00023709031908462444,0.9961638450622559,0.0032405085706462464,0.00017721164719356844,2.7592861442826688e-05,0.0001537427354681616,2.036290802988383,False
