timestamp,sitting,standing,eating,lying,running,anomaly_score,is_anomaly
0.0,0.10496177524328232,0.05144202088316282,0.1491105705499649,0.2150537520647049,0.4794319073359172,2.0516854550011963,False
1.0,0.10155695490539074,0.04982183501124382,0.14107158780097961,0.23320434615015984,0.47434529662132263,1.23195690557279,False
2.0,0.1020267978310585,0.0501144215464592,0.1373118966817856,0.23931096494197845,0.47123593688011167,1.1275508259490992,False
3.0,0.10398214757442474,0.05142214894294739,0.12837190926074982,0.24030550122261046,0.47591829895973203,0.8608195280504758,False
4.0,0.10614697039127349,0.05026962384581566,0.12385777086019516,0.23949095904827117,0.4802346885204315,1.072168702460529,False
5.0,0.10810737907886506,0.055237263441085815,0.11882618069648743,0.24835173189640045,0.4694774568080902,1.4127663016790548,False
6.0,0.10969018191099167,0.057367827743291855,0.12233084440231323,0.24825020134449005,0.46236095428466795,1.460742255863519,False
7.0,0.11822196692228318,0.056641985476016996,0.1247788429260254,0.2525569945573807,0.4478002190589905,1.2017339406122551,False
8.0,0.11923914551734924,0.05518176630139351,0.12800139486789702,0.2567912131547928,0.44078649282455445,0.9851917311081555,False
9.0,0.123351925984025,0.05661885254085064,0.13215751759707928,0.2677081264555454,0.4201635867357254,1.6012712314017383,False
10.0,0.12477832287549973,0.05189909785985947,0.1395486444234848,0.27343761424223584,0.41033631563186646,2.0231598333447427,False
