timestamp,a picture of an animal moving,a picture of an animal eating,a picture of an animal resting,anomaly_score,is_anomaly
0.0,0.7095488409201304,0.14903055441876253,0.1414205653903385,1.5255356325718006,False
1.0,0.7751281633973122,0.11653990158811212,0.1083318906603381,1.0204214974202381,False
2.0,0.8142759501934052,0.0975089929997921,0.08821503221988677,0.7133282204597662,False
3.0,0.861548376083374,0.11241937205195426,0.026032236218452454,0.23592131823791582,False
4.0,0.8463960409164428,0.13116333708167077,0.022440600395202636,0.2907493232107273,False
5.0,0.7869967460632324,0.1885094318538904,0.024493820499628782,1.1693745732952814,False
6.0,0.7844823479652405,0.19203946255147458,0.023478193674236536,1.2281941255489344,False
7.0,0.7810744404792785,0.19641932994127273,0.022506231861189007,1.3011741817775133,False
8.0,0.8448834180831909,0.13737164959311485,0.017744931718334557,0.3624309073789812,False
9.0,0.9038070678710938,0.09027179926633835,0.005921139614656568,0.5747309435801257,False
10.0,0.9625408887863159,0.03398740440607071,0.003471694653853774,1.4053669081393008,False
11.0,0.9654110908508301,0.03133033886551857,0.0032585748471319676,1.4496405756490038,False
12.0,0.9691537141799926,0.027437761053442956,0.0034085057675838472,1.5145011118974516,False
13.0,0.9254107117652893,0.06942664571106434,0.005162621196359396,0.8148563759800592,False
14.0,0.9269618153572082,0.06806946992874145,0.004968690546229481,0.8374704772966187,False
15.0,0.9295650601387024,0.0656438946723938,0.004791041743010283,0.8778869106816165,False
16.0,0.9298542618751526,0.06543443724513054,0.0047112880274653435,0.8813770197325828,False
17.0,0.927426016330719,0.06796107478439808,0.00461291722021997,0.839276624155656,False
18.0,0.96518315076828,0.03226362206041813,0.0025532518047839403,1.4340896344950307,False
19.0,0.9557768940925598,0.04159974455833435,0.0026233776472508906,1.2785253937963577,False
20.0,0.9352885365486145,0.06190723031759262,0.002804256230592728,0.9401495205852659,False
21.0,0.8985923051834106,0.09689992740750313,0.00450779995881021,0.5645019306266185,False
22.0,0.8813951492309571,0.11392058283090592,0.004684300580993295,0.5618075658672197,False
23.0,0.8696202993392944,0.12513000071048735,0.005249733990058303,0.5531759597440914,False
24.0,0.8737266659736633,0.1200643390417099,0.0062090334016829726,0.5385318044067104,False
25.0,0.8778995513916016,0.11597755253314972,0.006122937938198447,0.5398460920272731,False
26.0,0.9053586840629577,0.09048518389463425,0.004156173067167401,0.5887471139905708,False
27.0,0.9224160790443421,0.07315872311592102,0.004425229271873832,0.7526701966700958,False
28.0,0.9215674519538879,0.07263683825731278,0.005795717006549239,0.7613661645925011,False
29.0,0.9219154238700866,0.07298485413193703,0.005099735921248794,0.7555673090934337,False
30.0,0.9322891712188721,0.06170548647642136,0.006005333922803402,0.9435111010994939,False
31.0,0.9354954123497009,0.05721918269991875,0.007285391073673963,1.018264666157256,False
32.0,0.9345519781112671,0.05903383195400238,0.006414187210611999,0.9880278592377946,False
33.0,0.9438720703125,0.0517066553235054,0.004421286121942103,1.1101178028136989,False
34.0,0.9373462319374084,0.05858646705746651,0.004067316581495106,0.9954821295154581,False
35.0,0.9322120070457458,0.06469538807868958,0.003092620265670121,0.8936915135111334,False
36.0,0.9208538055419921,0.07658282592892647,0.0025633719051256776,0.7287187540904306,False
37.0,0.9076898574829102,0.0890298143029213,0.0032803309615701435,0.6098052365351048,False
38.0,0.9101569294929505,0.08638913854956627,0.0034539416432380677,0.6320909679478611,False
39.0,0.8968109250068664,0.09082074984908103,0.012368331942707301,0.5115328852490686,False
40.0,0.8998569369316101,0.08400812819600105,0.016134953405708075,0.5718907067167798,False
41.0,0.9111315131187439,0.06999557614326476,0.018872941471636297,0.8053765056468046,False
42.0,0.9229785203933716,0.05582524910569191,0.021196266636252403,1.0414912488438766,False
43.0,0.9147278070449829,0.06191828101873398,0.02335392273962498,0.9399653869759835,False
44.0,0.919447910785675,0.058952842652797696,0.021599266305565835,0.9893773530077654,False
45.0,0.9054565668106079,0.07064050883054733,0.023902945592999457,0.7946302387869536,False
46.0,0.8933163762092591,0.08056873455643654,0.02611491419374943,0.6292000083162519,False
47.0,0.878033709526062,0.09700422286987305,0.024962078593671323,0.3553417485770164,False
48.0,0.8558827996253967,0.11870895475149154,0.02540826927870512,0.24544646615349203,False
49.0,0.8387786626815796,0.13970938324928284,0.02151197027415037,0.3562380159152236,False
50.0,0.8409168124198914,0.14191151261329651,0.01717168129980564,0.39293125580250005,False
51.0,0.8452569842338562,0.14204398095607756,0.01269901692867279,0.43945916269068763,False
52.0,0.8423932552337646,0.14522234350442886,0.012384379468858241,0.44809836546453263,False
53.0,0.8438342809677124,0.1351842239499092,0.020981465838849543,0.3130236964068774,False
54.0,0.824436354637146,0.15667708665132524,0.01888652555644512,0.6389643722508599,False
55.0,0.8028854727745056,0.17514351159334182,0.02197097335010767,0.9466633527607042,False
