timestamp,a picture of an animal moving,a picture of an animal eating,a picture of an animal resting,anomaly_score,is_anomaly,behavior_raw,behavior_score,behavior_confident,behavior_label,behavior_smooth
0.0,0.8946856458981832,0.04029358240465323,0.06502075120806694,1.8867438783673482,False,moving,0.8946856458981832,True,moving,moving
0.9742388758782201,0.8649426996707916,0.05270852008834481,0.08234877232462168,0.9566500044732013,False,moving,0.8649426996707916,True,moving,moving
1.9484777517564402,0.8448665976524353,0.059306316450238226,0.09582707658410072,0.91426662013648,False,moving,0.8448665976524353,True,moving,moving
2.9227166276346606,0.8318260550498963,0.06305359452962875,0.1051203541457653,1.1774748193173574,False,moving,0.8318260550498963,True,moving,moving
3.8969555035128804,0.811285936832428,0.07510855942964553,0.11360550820827484,2.0242135815066247,False,moving,0.811285936832428,True,moving,moving
4.871194379391101,0.8096079587936401,0.0791017696261406,0.11129028499126434,2.3046960123544395,False,moving,0.8096079587936401,True,moving,moving
5.845433255269321,0.8246863007545471,0.07414407730102539,0.10116962492465972,1.9564685145972756,False,moving,0.8246863007545471,True,moving,moving
6.819672131147541,0.8369433283805847,0.06459454074501991,0.09846213757991791,1.2857106293626221,False,moving,0.8369433283805847,True,moving,moving
7.793911007025761,0.8439920783042908,0.06047036275267601,0.09553756564855576,0.9960290419628423,False,moving,0.8439920783042908,True,moving,moving
8.76814988290398,0.8571119904518127,0.04909591674804688,0.0937921091914177,0.3424207485689815,False,moving,0.8571119904518127,True,moving,moving
9.742388758782202,0.8763635635375977,0.03792971223592758,0.08570674359798432,0.882147026097957,False,moving,0.8763635635375977,True,moving,moving
10.716627634660421,0.8872381329536438,0.031266866624355315,0.08149504214525223,1.302429196830677,False,moving,0.8872381329536438,True,moving,moving
11.690866510538642,0.9003419518470764,0.03021809086203575,0.06943999975919724,1.8088677728072018,False,moving,0.9003419518470764,True,moving,moving
12.665105386416862,0.9012945652008056,0.030427883565425872,0.06827758178114891,1.8456845324283706,False,moving,0.9012945652008056,True,moving,moving
13.639344262295081,0.8985332131385804,0.030997614562511443,0.07046918794512749,1.7389633378257736,False,moving,0.8985332131385804,True,moving,moving
14.613583138173302,0.8706327319145203,0.036126021295785904,0.0932412602007389,0.7139135188397436,False,moving,0.8706327319145203,True,moving,moving
15.587822014051522,0.8600393533706665,0.03754859864711761,0.1024120457470417,0.6139919184389478,False,moving,0.8600393533706665,True,moving,moving
16.562060889929743,0.8536664485931397,0.03858073502779007,0.10775280222296715,0.5414948279347782,False,moving,0.8536664485931397,True,moving,moving
17.53629976580796,0.8352681517601013,0.043538414686918256,0.12119343131780624,1.1283647309111686,False,moving,0.8352681517601013,True,moving,moving
18.510538641686182,0.8322447419166565,0.044880127906799315,0.12287512570619583,1.2186308748569987,False,moving,0.8322447419166565,True,moving,moving
19.484777517564403,0.8504976034164429,0.04088660627603531,0.10861576944589615,0.4532497725274203,False,moving,0.8504976034164429,True,moving,moving
20.459016393442624,0.8531648397445679,0.04039263725280762,0.10644250065088272,0.414227112106157,False,moving,0.8531648397445679,True,moving,moving
21.433255269320842,0.8523440957069397,0.0392358161509037,0.10842008590698242,0.49548203702918053,False,moving,0.8523440957069397,True,moving,moving
22.407494145199063,0.8565086722373962,0.035755593329668045,0.10773571133613587,0.7399323185718346,False,moving,0.8565086722373962,True,moving,moving
23.381733021077284,0.8405967950820923,0.03699512407183647,0.12240806370973586,1.1935609895703774,False,moving,0.8405967950820923,True,moving,moving
24.355971896955502,0.8337736427783966,0.038287049159407616,0.12793930433690548,1.490454269406578,False,moving,0.8337736427783966,True,moving,moving
25.330210772833723,0.8230822881062826,0.03888483718037605,0.13803286850452423,2.0322335144174617,False,moving,0.8230822881062826,True,moving,moving
