timestamp,a picture of a dog sleeping,a picture of a dog walking,a picture of a dog eating
0.0,0.47387835,0.2673333,0.2587883
0.4756606397774687,0.4712088,0.27483743,0.25395384
0.9513212795549374,0.47605753,0.26704,0.25690246
1.426981919332406,0.4853038,0.2667251,0.24797104
1.9026425591098748,0.47669804,0.25840127,0.2649007
2.3783031988873433,0.5395207,0.2507966,0.20968273
2.853963838664812,0.39740705,0.2351202,0.36747274
3.329624478442281,0.17967097,0.12631285,0.69401616
3.8052851182197496,0.1182292,0.21834329,0.6634275
4.280945757997218,0.26429898,0.03332999,0.702371
4.756606397774687,0.41023287,0.03498881,0.55477834
5.232267037552155,0.5565916,0.013015688,0.43039277
5.707927677329624,0.3941558,0.009345122,0.5964991
6.183588317107093,0.20680705,0.1006105,0.6925824
6.659248956884562,0.46827665,0.017491704,0.5142316
7.13490959666203,0.65408736,0.010698145,0.33521447
7.610570236439499,0.16500932,0.017611202,0.8173795
8.086230876216968,0.19643278,0.052366566,0.7512006
8.561891515994436,0.33341485,0.06315163,0.6034335
9.037552155771905,0.495099,0.036667213,0.46823382
9.513212795549373,0.15664384,0.050717164,0.792639
9.988873435326843,0.18644232,0.021299154,0.79225856
10.46453407510431,0.34147537,0.046882194,0.6116425
10.940194714881779,0.17969213,0.07688427,0.74342364
11.415855354659248,0.11935133,0.055474415,0.8251743
11.891515994436716,0.093235366,0.033048045,0.8737166
12.367176634214186,0.26455662,0.05060345,0.68483996
12.842837273991654,0.37114608,0.04327613,0.5855777
13.318497913769123,0.3727195,0.08760496,0.53967553
13.794158553546591,0.33380112,0.024758004,0.6414408
14.26981919332406,0.31884578,0.034796294,0.64635795
14.745479833101529,0.2147382,0.020495066,0.7647667
15.221140472878998,0.32732305,0.03171173,0.6409652
15.696801112656466,0.15163535,0.043626267,0.80473846
16.172461752433936,0.28538507,0.023390919,0.691224
16.648122392211402,0.21416879,0.020802055,0.76502913
17.12378303198887,0.17170672,0.033905342,0.79438794
17.59944367176634,0.2828755,0.055571917,0.6615526
18.07510431154381,0.33442882,0.03958786,0.62598336
18.550764951321277,0.31424984,0.03370025,0.65204996
19.026425591098747,0.47060424,0.024024505,0.5053712
19.502086230876216,0.21236667,0.022032479,0.7656009
19.977746870653686,0.31229183,0.02160188,0.6661063
20.453407510431152,0.3809141,0.03350927,0.58557665
20.92906815020862,0.51627445,0.019959306,0.46376625
21.40472878998609,0.51389104,0.015580951,0.470528
21.880389429763557,0.38139412,0.030928783,0.5876771
22.356050069541027,0.3437159,0.03347822,0.6228059
22.831710709318497,0.2646732,0.034144595,0.7011821
23.307371349095966,0.2917533,0.034455758,0.67379093
23.783031988873432,0.5966593,0.019657983,0.38368273
24.258692628650902,0.5065872,0.02203053,0.47138223
24.73435326842837,0.41229782,0.031565197,0.55613697
25.21001390820584,0.47977313,0.027775176,0.49245167
25.685674547983307,0.6431862,0.017443093,0.3393707
26.161335187760777,0.3169922,0.023140246,0.6598675
26.636995827538247,0.18318391,0.02452865,0.79228747
27.112656467315713,0.3019492,0.025586816,0.67246395
27.588317107093182,0.27269483,0.041518997,0.6857862
28.063977746870652,0.11869818,0.054277692,0.8270241
28.53963838664812,0.59260505,0.01350125,0.39389366
29.015299026425588,0.31924218,0.052735202,0.6280226
29.490959666203057,0.21323396,0.041576006,0.74519
29.966620305980527,0.21752982,0.033427685,0.7490425
30.442280945757997,0.33243617,0.031866014,0.6356978
30.917941585535463,0.31325415,0.03283124,0.6539146
31.393602225312932,0.33429465,0.033005152,0.63270015
31.869262865090402,0.39801106,0.030638617,0.5713503
32.34492350486787,0.41016668,0.03561305,0.5542203
32.82058414464534,0.36309072,0.0271034,0.6098059
33.296244784422804,0.41456246,0.021770732,0.56366676
33.77190542420028,0.3565,0.02161118,0.62188876
34.24756606397774,0.19437787,0.018679298,0.7869429
34.723226703755216,0.41823456,0.019784575,0.5619809
35.19888734353268,0.2830815,0.017738784,0.69917965
35.67454798331015,0.4095553,0.02759558,0.56284916
36.15020862308762,0.21296708,0.035443097,0.7515898
36.62586926286509,0.18570873,0.022535728,0.79175556
37.101529902642554,0.18828043,0.021863574,0.7898559
37.57719054242003,0.28667545,0.022520637,0.6908038
38.05285118219749,0.25948438,0.02460959,0.7159061
38.52851182197496,0.15234727,0.026663715,0.820989
39.00417246175243,0.19610745,0.025333297,0.7785592
39.4798331015299,0.20465118,0.029250568,0.76609826
39.95549374130737,0.14773363,0.027164018,0.8251024
40.43115438108484,0.16951716,0.028882833,0.80160004
40.906815020862304,0.22960351,0.025855163,0.74454135
41.38247566063978,0.22885686,0.026033074,0.74511003
41.85813630041724,0.30280313,0.034519766,0.6626771
42.33379694019471,0.3513905,0.048510686,0.60009885
42.80945757997218,0.30361047,0.047796417,0.64859307
43.28511821974965,0.40204236,0.051458962,0.54649866
43.760778859527115,0.3504704,0.035845786,0.6136838
44.23643949930459,0.24869779,0.056675684,0.6946265
44.712100139082054,0.08588304,0.021212103,0.8929049
45.18776077885953,0.16614842,0.06484734,0.7690043
45.66342141863699,0.04597811,0.029575212,0.9244467
46.13908205841446,0.07662362,0.016308788,0.90706754
46.61474269819193,0.14061587,0.021147415,0.83823675
47.0904033379694,0.25717846,0.011129583,0.73169196
47.566063977746865,0.25332996,0.014384552,0.7322855
48.04172461752434,0.090270504,0.021493658,0.88823587
48.517385257301804,0.5574128,0.023056814,0.4195304
48.99304589707927,0.30701473,0.029493725,0.6634915
49.46870653685674,0.076705635,0.044059094,0.87923527
49.94436717663421,0.26015046,0.028641436,0.7112081
50.42002781641168,0.4061802,0.0147734005,0.57904637
50.89568845618915,0.32678097,0.019340048,0.653879
51.371349095966615,0.32385802,0.017895503,0.6582465
51.84700973574409,0.26667193,0.01604703,0.71728104
52.322670375521554,0.265523,0.016572855,0.71790415
52.79833101529902,0.24614613,0.015052373,0.73880154
53.27399165507649,0.3102143,0.017084077,0.67270154
53.74965229485396,0.54521686,0.015132121,0.439651
54.225312934631425,0.48647714,0.015736189,0.49778664
54.7009735744089,0.38389546,0.01802833,0.5980762
55.176634214186365,0.28192765,0.011549557,0.7065228
55.65229485396384,0.28686076,0.0131133115,0.7000259
56.127955493741304,0.28149882,0.013591009,0.7049101
56.60361613351877,0.2705275,0.03180116,0.69767135
57.07927677329624,0.37121388,0.012951017,0.61583513
57.55493741307371,0.49591866,0.015702188,0.48837918
58.030598052851175,0.28262037,0.03200925,0.6853703
58.50625869262865,0.3998688,0.017770413,0.5823608
58.981919332406115,0.6286424,0.011699544,0.3596581
59.45757997218358,0.20767382,0.031229438,0.7610968
59.933240611961054,0.14168543,0.039573945,0.8187406
60.40890125173852,0.26263136,0.028293675,0.709075
60.88456189151599,0.1610589,0.0431334,0.7958078
61.36022253129346,0.30432314,0.037599307,0.65807754
61.835883171070925,0.3679173,0.029761098,0.60232157
62.3115438108484,0.44421214,0.021909159,0.53387874
62.787204450625865,0.2476146,0.040024493,0.7123609
63.26286509040333,0.30018666,0.017019337,0.68279403
63.738525730180804,0.3484537,0.018184772,0.6333616
64.21418636995827,0.20552431,0.029151326,0.76532435
64.68984700973574,0.2787199,0.04121498,0.68006504
65.1655076495132,0.3430745,0.02477164,0.6321538
65.64116828929068,0.20194663,0.027220577,0.7708328
66.11682892906815,0.1943261,0.025028696,0.7806452
66.59248956884561,0.4538565,0.0204635,0.52568
67.06815020862308,0.25042737,0.01775321,0.7318194
67.54381084840055,0.15135075,0.040542033,0.80810714
68.01947148817803,0.16668545,0.03022845,0.80308604
68.49513212795549,0.1975268,0.02215682,0.7803163
68.97079276773296,0.21658131,0.019987399,0.7634314
69.44645340751043,0.23718083,0.019183204,0.74363595
69.92211404728789,0.3926393,0.0125454785,0.59481525
70.39777468706536,0.24964811,0.010635842,0.73971605
70.87343532684284,0.09649633,0.031985834,0.8715178
71.3490959666203,0.1511563,0.036052782,0.81279093
71.82475660639777,0.23132654,0.03737072,0.7313027
72.30041724617524,0.1816889,0.02888278,0.78942835
72.7760778859527,0.16182569,0.033318654,0.80485564
73.25173852573018,0.32687157,0.028642025,0.6444864
73.72739916550765,0.25345165,0.03589789,0.7106505
74.20305980528511,0.21604642,0.02560378,0.75834984
74.67872044506258,0.29368147,0.021689052,0.6846295
75.15438108484005,0.23005943,0.029866016,0.7400745
75.63004172461751,0.30506554,0.032408085,0.66252637
